Country,Region,Destination,value
Albania,ALB,Europe,Albania,567
Albania,ALB,Europe,Others,1
Albania,ALB,Europe,Total,570
Algeria,DZA,Africa,Algeria,3
Algeria,DZA,Africa,Gambia,1
Algeria,DZA,Africa,Guinea,7
Algeria,DZA,Africa,Mali,19
Algeria,DZA,Africa,Niger,32
Algeria,DZA,Africa,Total,62
Angola,AGO,Africa,Congo,1
Angola,AGO,Africa,Total,22
Antigua and Barbuda,ATG,Americas,Total,15
Argentina,ARG,Americas,Argentina,484
Argentina,ARG,Americas,Bolivia (Plurinational State of),480
Argentina,ARG,Americas,Brazil,2
Argentina,ARG,Americas,Chile,2
Argentina,ARG,Americas,China,10
Argentina,ARG,Americas,Colombia,12
Argentina,ARG,Americas,Dominican Republic,108
Argentina,ARG,Americas,Ecuador,1
Argentina,ARG,Americas,India,1
Argentina,ARG,Americas,Paraguay,275
Argentina,ARG,Americas,Peru,32
Argentina,ARG,Americas,Total,2999
Argentina,ARG,Americas,Uruguay,2
Argentina,ARG,Americas,Venezuela (Bolivarian Republic of),1
Armenia,ARM,Asia,Armenia,127
Armenia,ARM,Asia,China,1
Armenia,ARM,Asia,Russian Federation,24
Armenia,ARM,Asia,Total,291
Australia,AUS,Oceania,Afghanistan,7
Australia,AUS,Oceania,Australia,25
Australia,AUS,Oceania,China; Macao SAR,1
Australia,AUS,Oceania,Czechia,1
Australia,AUS,Oceania,India,6
Australia,AUS,Oceania,Indonesia,2
Australia,AUS,Oceania,Malaysia,30
Australia,AUS,Oceania,Others,41
Australia,AUS,Oceania,Philippines,6
Australia,AUS,Oceania,Republic of Korea,27
Australia,AUS,Oceania,Singapore,1
Australia,AUS,Oceania,Thailand,51
Australia,AUS,Oceania,Total,335
Austria,AUT,Europe,Afghanistan,1
Austria,AUT,Europe,Albania,54
Austria,AUT,Europe,Austria,205
Austria,AUT,Europe,Bosnia and Herzegovina,2
Austria,AUT,Europe,Brazil,1
Austria,AUT,Europe,Bulgaria,176
Austria,AUT,Europe,China,22
Austria,AUT,Europe,Colombia,1
Austria,AUT,Europe,Croatia,4
Austria,AUT,Europe,Czechia,28
Austria,AUT,Europe,Democratic People's Republic of Korea,1
Austria,AUT,Europe,Ethiopia,1
Austria,AUT,Europe,Georgia,1
Austria,AUT,Europe,Germany,3
Austria,AUT,Europe,Hungary,136
Austria,AUT,Europe,India,2
Austria,AUT,Europe,Indonesia,3
Austria,AUT,Europe,Italy,2
Austria,AUT,Europe,Kenya,1
Austria,AUT,Europe,Lithuania,5
Austria,AUT,Europe,Nepal,1
Austria,AUT,Europe,Nicaragua,1
Austria,AUT,Europe,Nigeria,137
Austria,AUT,Europe,Others,68
Austria,AUT,Europe,Paraguay,1
Austria,AUT,Europe,Peru,1
Austria,AUT,Europe,Philippines,51
Austria,AUT,Europe,Poland,3
Austria,AUT,Europe,Republic of Moldova,14
Austria,AUT,Europe,Romania,219
Austria,AUT,Europe,Russian Federation,27
Austria,AUT,Europe,Serbia,18
Austria,AUT,Europe,Slovakia,44
Austria,AUT,Europe,Sri Lanka,1
Austria,AUT,Europe,Switzerland,1
Austria,AUT,Europe,Syrian Arab Republic,2
Austria,AUT,Europe,The former Yugoslav Republic of Macedonia,1
Austria,AUT,Europe,Total,377
Austria,AUT,Europe,Tunisia,1
Austria,AUT,Europe,Turkey,4
Austria,AUT,Europe,Ukraine,34
Austria,AUT,Europe,Viet Nam,1
Azerbaijan,AZE,Asia,Azerbaijan,3
Azerbaijan,AZE,Asia,China,1
Azerbaijan,AZE,Asia,Georgia,1
Azerbaijan,AZE,Asia,Kazakhstan,1
Azerbaijan,AZE,Asia,Philippines,1
Azerbaijan,AZE,Asia,Russian Federation,3
Azerbaijan,AZE,Asia,Total,700
Azerbaijan,AZE,Asia,Ukraine,1
Azerbaijan,AZE,Asia,Uzbekistan,8
Bahamas,BHS,Americas,Jamaica,1
Bahamas,BHS,Americas,Total,1
Bahrain,BHR,Asia,Bangladesh,123
Bahrain,BHR,Asia,Colombia,2
Bahrain,BHR,Asia,Dominican Republic,6
Bahrain,BHR,Asia,Egypt,3
Bahrain,BHR,Asia,Ethiopia,1
Bahrain,BHR,Asia,Ghana,1
Bahrain,BHR,Asia,India,19
Bahrain,BHR,Asia,Indonesia,36
Bahrain,BHR,Asia,Iraq,1
Bahrain,BHR,Asia,Kazakhstan,1
Bahrain,BHR,Asia,Kenya,1
Bahrain,BHR,Asia,Morocco,13
Bahrain,BHR,Asia,Nepal,1
Bahrain,BHR,Asia,Pakistan,110
Bahrain,BHR,Asia,Panama,1
Bahrain,BHR,Asia,Philippines,5
Bahrain,BHR,Asia,Russian Federation,44
Bahrain,BHR,Asia,Sri Lanka,12
Bahrain,BHR,Asia,Thailand,27
Bahrain,BHR,Asia,Total,406
Bahrain,BHR,Asia,Viet Nam,1
Bangladesh,BGD,Asia,Total,1283
Barbados,BRB,Americas,Guyana,5
Barbados,BRB,Americas,Total,5
Belarus,BLR,Europe,Belarus,2504
Belarus,BLR,Europe,Kazakhstan,1
Belarus,BLR,Europe,Russian Federation,2
Belarus,BLR,Europe,Total,5381
Belarus,BLR,Europe,Ukraine,4
Belarus,BLR,Europe,Viet Nam,16
Belgium,BEL,Europe,Afghanistan,1
Belgium,BEL,Europe,Albania,14
Belgium,BEL,Europe,Algeria,4
Belgium,BEL,Europe,Bangladesh,3
Belgium,BEL,Europe,Belgium,1
Belgium,BEL,Europe,Benin,9
Belgium,BEL,Europe,Bhutan,1
Belgium,BEL,Europe,Bolivia (Plurinational State of),1
Belgium,BEL,Europe,Brazil,27
Belgium,BEL,Europe,Bulgaria,5
Belgium,BEL,Europe,Burkina Faso,3
Belgium,BEL,Europe,Cameroon,2
Belgium,BEL,Europe,Chad,1
Belgium,BEL,Europe,China,16
Belgium,BEL,Europe,Colombia,1
Belgium,BEL,Europe,Congo,2
Belgium,BEL,Europe,Cote d'Ivoire,2
Belgium,BEL,Europe,Croatia,2
Belgium,BEL,Europe,Czechia,2
Belgium,BEL,Europe,Dominican Republic,1
Belgium,BEL,Europe,Egypt,9
Belgium,BEL,Europe,Equatorial Guinea,1
Belgium,BEL,Europe,Eritrea,1
Belgium,BEL,Europe,Ethiopia,2
Belgium,BEL,Europe,France,2
Belgium,BEL,Europe,Georgia,1
Belgium,BEL,Europe,Germany,1
Belgium,BEL,Europe,Ghana,4
Belgium,BEL,Europe,Guinea,1
Belgium,BEL,Europe,Hungary,2
Belgium,BEL,Europe,India,32
Belgium,BEL,Europe,Indonesia,1
Belgium,BEL,Europe,Iran (Islamic Republic of),4
Belgium,BEL,Europe,Iraq,3
Belgium,BEL,Europe,Jordan,1
Belgium,BEL,Europe,Kenya,1
Belgium,BEL,Europe,Kosovo under UNSCR 1244,1
Belgium,BEL,Europe,Mauritius,1
Belgium,BEL,Europe,Morocco,72
Belgium,BEL,Europe,Nigeria,29
Belgium,BEL,Europe,Pakistan,9
Belgium,BEL,Europe,Philippines,2
Belgium,BEL,Europe,Poland,8
Belgium,BEL,Europe,Romania,33
Belgium,BEL,Europe,Russian Federation,2
Belgium,BEL,Europe,Senegal,3
Belgium,BEL,Europe,Serbia,1
Belgium,BEL,Europe,Sierra Leone,1
Belgium,BEL,Europe,Slovakia,2
Belgium,BEL,Europe,Somalia,1
Belgium,BEL,Europe,Spain,2
Belgium,BEL,Europe,State of Palestine,1
Belgium,BEL,Europe,Syrian Arab Republic,1
Belgium,BEL,Europe,Thailand,4
Belgium,BEL,Europe,Total,959
Belgium,BEL,Europe,Tunisia,3
Belgium,BEL,Europe,Turkey,8
Belgium,BEL,Europe,Ukraine,4
Belgium,BEL,Europe,Uzbekistan,1
Belgium,BEL,Europe,Viet Nam,2
Benin,BEN,Africa,Total,2158
Bolivia (Plurinational State of),BOL,Americas,Bangladesh,5
Bolivia (Plurinational State of),BOL,Americas,Bolivia (Plurinational State of),1058
Bolivia (Plurinational State of),BOL,Americas,Brazil,1
Bolivia (Plurinational State of),BOL,Americas,China,1
Bolivia (Plurinational State of),BOL,Americas,Colombia,1
Bolivia (Plurinational State of),BOL,Americas,India,1
Bolivia (Plurinational State of),BOL,Americas,Paraguay,8
Bolivia (Plurinational State of),BOL,Americas,Peru,1
Bolivia (Plurinational State of),BOL,Americas,Russian Federation,1
Bolivia (Plurinational State of),BOL,Americas,Total,1922
Bosnia and Herzegovina,BIH,Europe,Bosnia and Herzegovina,320
Bosnia and Herzegovina,BIH,Europe,Bulgaria,2
Bosnia and Herzegovina,BIH,Europe,Croatia,5
Bosnia and Herzegovina,BIH,Europe,Cuba,1
Bosnia and Herzegovina,BIH,Europe,Gambia,1
Bosnia and Herzegovina,BIH,Europe,Germany,2
Bosnia and Herzegovina,BIH,Europe,Iraq,1
Bosnia and Herzegovina,BIH,Europe,Kosovo under UNSCR 1244,2
Bosnia and Herzegovina,BIH,Europe,Republic of Moldova,1
Bosnia and Herzegovina,BIH,Europe,Romania,2
Bosnia and Herzegovina,BIH,Europe,Serbia,20
Bosnia and Herzegovina,BIH,Europe,Sri Lanka,1
Bosnia and Herzegovina,BIH,Europe,The former Yugoslav Republic of Macedonia,1
Bosnia and Herzegovina,BIH,Europe,Total,511
Bosnia and Herzegovina,BIH,Europe,Ukraine,3
Bosnia and Herzegovina,BIH,Europe,United States of America,1
Brazil,BRA,Americas,Total,2282
Brunei Darussalam,BRN,Asia,Indonesia,2
Brunei Darussalam,BRN,Asia,Thailand,6
Brunei Darussalam,BRN,Asia,Total,8
Bulgaria,BGR,Europe,Total,5361
Burkina Faso,BFA,Africa,Benin,1
Burkina Faso,BFA,Africa,Burkina Faso,2772
Burkina Faso,BFA,Africa,Ghana,1
Burkina Faso,BFA,Africa,Mali,24
Burkina Faso,BFA,Africa,Niger,1
Burkina Faso,BFA,Africa,Nigeria,1
Burkina Faso,BFA,Africa,Total,7674
Burundi,BDI,Africa,Burundi,10
Burundi,BDI,Africa,Total,139
Cambodia,KHM,Asia,Total,42
Cameroon,CMR,Africa,Total,83
Canada,CAN,Americas,Canada,380
Canada,CAN,Americas,China,2
Canada,CAN,Americas,China; Hong Kong SAR,1
Canada,CAN,Americas,China; Taiwan Province of China,2
Canada,CAN,Americas,Congo,1
Canada,CAN,Americas,France,1
Canada,CAN,Americas,Guatemala,1
Canada,CAN,Americas,Hungary,2
Canada,CAN,Americas,Jamaica,6
Canada,CAN,Americas,Kenya,1
Canada,CAN,Americas,Malaysia,1
Canada,CAN,Americas,Mexico,1
Canada,CAN,Americas,Nigeria,5
Canada,CAN,Americas,Philippines,2
Canada,CAN,Americas,Republic of Moldova,10
Canada,CAN,Americas,Romania,2
Canada,CAN,Americas,Russian Federation,1
Canada,CAN,Americas,Saudi Arabia,1
Canada,CAN,Americas,Slovakia,1
Canada,CAN,Americas,Thailand,20
Canada,CAN,Americas,Total,1010
Canada,CAN,Americas,United Republic of Tanzania,1
Canada,CAN,Americas,United States of America,2
Chile,CHL,Americas,Argentina,2
Chile,CHL,Americas,Bolivia (Plurinational State of),79
Chile,CHL,Americas,Brazil,1
Chile,CHL,Americas,Chile,35
Chile,CHL,Americas,China,51
Chile,CHL,Americas,Colombia,37
Chile,CHL,Americas,Dominican Republic,14
Chile,CHL,Americas,Ecuador,11
Chile,CHL,Americas,India,12
Chile,CHL,Americas,Nepal,1
Chile,CHL,Americas,Paraguay,92
Chile,CHL,Americas,Peru,33
Chile,CHL,Americas,Republic of Korea,1
Chile,CHL,Americas,Russian Federation,1
Chile,CHL,Americas,South Africa,1
Chile,CHL,Americas,Total,408
Chile,CHL,Americas,Venezuela (Bolivarian Republic of),1
China; Taiwan Province of China,TWN,Asia,Bangladesh,22
China; Taiwan Province of China,TWN,Asia,Cambodia,23
China; Taiwan Province of China,TWN,Asia,China,89
China; Taiwan Province of China,TWN,Asia,Indonesia,1337
China; Taiwan Province of China,TWN,Asia,Others,12
China; Taiwan Province of China,TWN,Asia,Philippines,141
China; Taiwan Province of China,TWN,Asia,Thailand,43
China; Taiwan Province of China,TWN,Asia,Total,2353
China; Taiwan Province of China,TWN,Asia,Viet Nam,368
Colombia,COL,Americas,Argentina,2
Colombia,COL,Americas,Canada,1
Colombia,COL,Americas,China,1
Colombia,COL,Americas,Colombia,126
Colombia,COL,Americas,Costa Rica,1
Colombia,COL,Americas,Ecuador,1
Colombia,COL,Americas,India,1
Colombia,COL,Americas,Peru,2
Colombia,COL,Americas,Total,593
Colombia,COL,Americas,Venezuela (Bolivarian Republic of),2
Congo,COG,Africa,Total,73
Costa Rica,CRI,Americas,China,3
Costa Rica,CRI,Americas,Colombia,3
Costa Rica,CRI,Americas,Costa Rica,25
Costa Rica,CRI,Americas,Dominican Republic,7
Costa Rica,CRI,Americas,El Salvador,2
Costa Rica,CRI,Americas,Indonesia,13
Costa Rica,CRI,Americas,Nicaragua,17
Costa Rica,CRI,Americas,Philippines,5
Costa Rica,CRI,Americas,South Africa,1
Costa Rica,CRI,Americas,Total,216
Costa Rica,CRI,Americas,Viet Nam,21
Cote d'Ivoire,CIV,Africa,Benin,2
Cote d'Ivoire,CIV,Africa,Burkina Faso,29
Cote d'Ivoire,CIV,Africa,China,7
Cote d'Ivoire,CIV,Africa,Cote d'Ivoire,14
Cote d'Ivoire,CIV,Africa,Ghana,1
Cote d'Ivoire,CIV,Africa,Mali,34
Cote d'Ivoire,CIV,Africa,Niger,2
Cote d'Ivoire,CIV,Africa,Nigeria,11
Cote d'Ivoire,CIV,Africa,Philippines,1
Cote d'Ivoire,CIV,Africa,Togo,1
Cote d'Ivoire,CIV,Africa,Total,454
Croatia,HRV,Europe,Afghanistan,1
Croatia,HRV,Europe,Bosnia and Herzegovina,14
Croatia,HRV,Europe,Croatia,120
Croatia,HRV,Europe,Hungary,1
Croatia,HRV,Europe,Kosovo under UNSCR 1244,1
Croatia,HRV,Europe,Nigeria,1
Croatia,HRV,Europe,Pakistan,1
Croatia,HRV,Europe,Philippines,1
Croatia,HRV,Europe,Republic of Moldova,1
Croatia,HRV,Europe,Romania,4
Croatia,HRV,Europe,Serbia,3
Croatia,HRV,Europe,Thailand,1
Croatia,HRV,Europe,Total,234
Croatia,HRV,Europe,United States of America,1
Cuba,CUB,Americas,Cuba,60
Cuba,CUB,Americas,Total,60
Cyprus,CYP,Asia,Bangladesh,6
Cyprus,CYP,Asia,Belarus,4
Cyprus,CYP,Asia,Bulgaria,27
Cyprus,CYP,Asia,Cameroon,4
Cyprus,CYP,Asia,China,7
Cyprus,CYP,Asia,Cote d'Ivoire,2
Cyprus,CYP,Asia,Cyprus,1
Cyprus,CYP,Asia,Dominican Republic,17
Cyprus,CYP,Asia,Egypt,6
Cyprus,CYP,Asia,Eritrea,1
Cyprus,CYP,Asia,Estonia,2
Cyprus,CYP,Asia,Greece,2
Cyprus,CYP,Asia,Hungary,2
Cyprus,CYP,Asia,India,31
Cyprus,CYP,Asia,Kenya,1
Cyprus,CYP,Asia,Latvia,2
Cyprus,CYP,Asia,Morocco,4
Cyprus,CYP,Asia,Paraguay,1
Cyprus,CYP,Asia,Philippines,29
Cyprus,CYP,Asia,Republic of Moldova,22
Cyprus,CYP,Asia,Romania,140
Cyprus,CYP,Asia,Russian Federation,13
Cyprus,CYP,Asia,Sri Lanka,1
Cyprus,CYP,Asia,Syrian Arab Republic,2
Cyprus,CYP,Asia,Total,431
Cyprus,CYP,Asia,Ukraine,15
Cyprus,CYP,Asia,United Kingdom,1
Cyprus,CYP,Asia,Uzbekistan,1
Cyprus,CYP,Asia,Viet Nam,23
Czechia,CZE,Europe,Armenia,1
Czechia,CZE,Europe,Brazil,1
Czechia,CZE,Europe,Bulgaria,37
Czechia,CZE,Europe,Congo,2
Czechia,CZE,Europe,Czechia,49
Czechia,CZE,Europe,Honduras,1
