Country_territory,Iso3_code,Region,Indicator,Destination,Value_str
Albania,ALB,Europe,"Trafficking in persons, detected victims by citizenship",Others,1
Albania,ALB,Europe,"Trafficking in persons, detected victims by citizenship",Albania,108
Albania,ALB,Europe,"Trafficking in persons, detected victims by citizenship",Albania,94
Albania,ALB,Europe,"Trafficking in persons, detected victims by citizenship",Albania,97
Albania,ALB,Europe,"Trafficking in persons, detected victims by citizenship",Albania,84
Albania,ALB,Europe,"Trafficking in persons, detected victims by citizenship",Albania,92
Albania,ALB,Europe,"Trafficking in persons, detected victims by citizenship",Albania,92
Albania,ALB,Europe,Detected trafficking victims,Total,108
Albania,ALB,Europe,Detected trafficking victims,Total,94
Albania,ALB,Europe,Detected trafficking victims,Total,97
Albania,ALB,Europe,Detected trafficking victims,Total,84
Albania,ALB,Europe,Detected trafficking victims,Total,92
Albania,ALB,Europe,Detected trafficking victims,Total,95
Algeria,DZA,Africa,"Trafficking in persons, detected victims by citizenship",Algeria,1
Algeria,DZA,Africa,"Trafficking in persons, detected victims by citizenship",Algeria,1
Algeria,DZA,Africa,"Trafficking in persons, detected victims by citizenship",Algeria,1
Algeria,DZA,Africa,"Trafficking in persons, detected victims by citizenship",Gambia,1
Algeria,DZA,Africa,Detected trafficking victims,Total,1
Algeria,DZA,Africa,Detected trafficking victims,Total,1
Algeria,DZA,Africa,"Trafficking in persons, detected victims by citizenship",Guinea,7
Algeria,DZA,Africa,"Trafficking in persons, detected victims by citizenship",Mali,19
Algeria,DZA,Africa,"Trafficking in persons, detected victims by citizenship",Niger,32
Algeria,DZA,Africa,Detected trafficking victims,Total,32
Algeria,DZA,Africa,Detected trafficking victims,Total,28
Angola,AGO,Africa,"Trafficking in persons, detected victims by citizenship",Congo,1
Angola,AGO,Africa,Detected trafficking victims,Total,15
Angola,AGO,Africa,Detected trafficking victims,Total,7
Antigua and Barbuda,ATG,Americas,Detected trafficking victims,Total,7
Antigua and Barbuda,ATG,Americas,Detected trafficking victims,Total,8
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Brazil,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Brazil,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Chile,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Chile,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",China,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Dominican Republic,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Ecuador,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",India,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Peru,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Uruguay,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Uruguay,1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Venezuela (Bolivarian Republic of),1
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Argentina,18
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Argentina,22
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Argentina,58
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Argentina,75
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Argentina,81
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Argentina,116
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Argentina,100
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Argentina,14
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Bolivia (Plurinational State of),53
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Bolivia (Plurinational State of),38
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Bolivia (Plurinational State of),23
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Bolivia (Plurinational State of),127
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Bolivia (Plurinational State of),42
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Bolivia (Plurinational State of),70
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Bolivia (Plurinational State of),116
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Bolivia (Plurinational State of),11
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",China,9
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Colombia,5
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Colombia,7
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Dominican Republic,20
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Dominican Republic,12
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Dominican Republic,15
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Dominican Republic,30
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Dominican Republic,11
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Dominican Republic,19
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Paraguay,59
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Paraguay,30
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Paraguay,79
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Paraguay,8
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Paraguay,26
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Paraguay,36
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Paraguay,30
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Paraguay,7
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Peru,9
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Peru,17
Argentina,ARG,Americas,"Trafficking in persons, detected victims by citizenship",Peru,5
Argentina,ARG,Americas,Detected trafficking victims,Total,30
