,country,ISO,region,destination,value,latitude,longitude,dest_lat,dest_long
0,Albania,ALB,Europe,Albania,567,41.153332,20.168331,41.153332,20.168331
1,Albania,ALB,Europe,Others,1,41.153332,20.168331,NaN,NaN
2,Albania,ALB,Europe,Total,570,41.153332,20.168331,NaN,NaN
3,Algeria,DZA,Africa,Algeria,3,28.033886,1.659626,28.033886,1.659626
4,Algeria,DZA,Africa,Gambia,1,28.033886,1.659626,13.443182,-15.310139
5,Algeria,DZA,Africa,Guinea,7,28.033886,1.659626,9.945587,-9.696645
6,Algeria,DZA,Africa,Mali,19,28.033886,1.659626,17.570692,-3.996166
7,Algeria,DZA,Africa,Niger,32,28.033886,1.659626,17.607789,8.081666
8,Algeria,DZA,Africa,Total,62,28.033886,1.659626,NaN,NaN
9,Angola,AGO,Africa,Congo,1,-11.202692,17.873887,-4.038333,21.758664
10,Angola,AGO,Africa,Total,22,-11.202692,17.873887,NaN,NaN
11,Antigua and Barbuda,ATG,Americas,Total,15,17.060816,-61.796428,NaN,NaN
12,Argentina,ARG,Americas,Argentina,484,-38.416097,-63.616672,-38.416097,-63.616672
13,Argentina,ARG,Americas,Bolivia (Plurinational State of),480,-38.416097,-63.616672,-16.290154,-63.588653
14,Argentina,ARG,Americas,Brazil,2,-38.416097,-63.616672,-14.235004,-51.92528
15,Argentina,ARG,Americas,Chile,2,-38.416097,-63.616672,-35.675147,-71.542969
16,Argentina,ARG,Americas,China,10,-38.416097,-63.616672,35.86166,104.195397
17,Argentina,ARG,Americas,Colombia,12,-38.416097,-63.616672,4.570868,-74.297333
18,Argentina,ARG,Americas,Dominican Republic,108,-38.416097,-63.616672,18.735693,-70.162651
19,Argentina,ARG,Americas,Ecuador,1,-38.416097,-63.616672,-1.831239,-78.183406
20,Argentina,ARG,Americas,India,1,-38.416097,-63.616672,20.593684,78.96288
21,Argentina,ARG,Americas,Paraguay,275,-38.416097,-63.616672,-23.442503,-58.443832
22,Argentina,ARG,Americas,Peru,32,-38.416097,-63.616672,-9.189967,-75.015152
23,Argentina,ARG,Americas,Total,2999,-38.416097,-63.616672,NaN,NaN
24,Argentina,ARG,Americas,Uruguay,2,-38.416097,-63.616672,-32.522779,-55.765835
25,Argentina,ARG,Americas,Venezuela (Bolivarian Republic of),1,-38.416097,-63.616672,6.42375,-66.58973
26,Armenia,ARM,Asia,Armenia,127,40.069099,45.038189,40.069099,45.038189
27,Armenia,ARM,Asia,China,1,40.069099,45.038189,35.86166,104.195397
28,Armenia,ARM,Asia,Russian Federation,24,40.069099,45.038189,61.52401,105.318756
